homeownership,loan_purpose,annual_income,debt_to_income,loan_amount,balance,term,interest_rate
RENT,debt_consolidation,40000.0,8.4,4000,3690.38,36,5.31
OWN,credit_card,32000.0,27.94,4500,3922.83,36,6.08
RENT,debt_consolidation,50000.0,23.97,25000,24253.68,60,30.79
MORTGAGE,debt_consolidation,29250.0,13.7,18000,16686.05,36,9.43
RENT,medical,60000.0,2.72,15000,13388.72,36,19.03
MORTGAGE,credit_card,83000.0,22.66,12000,0.0,60,14.08
RENT,debt_consolidation,60000.0,3.42,9000,7735.57,36,5.31
RENT,debt_consolidation,34600.0,4.37,7000,6146.09,36,5.32
MORTGAGE,debt_consolidation,55000.0,5.93,13000,12022.44,36,7.35
MORTGAGE,debt_consolidation,95000.0,17.31,9775,9018.44,36,5.31
MORTGAGE,home_improvement,41000.0,12.76,10000,9160.68,36,20.0
OWN,debt_consolidation,107000.0,28.93,35000,32644.79,36,15.04
MORTGAGE,other,35859.0,49.9,20000,19332.26,60,16.01
MORTGAGE,debt_consolidation,24000.0,8.2,2700,2425.5,36,22.91
RENT,small_business,90000.0,23.03,25000,23256.93,36,12.61
RENT,credit_card,70000.0,13.65,10000,8347.93,36,15.05
RENT,debt_consolidation,31000.0,24.08,10000,9336.62,36,16.01
RENT,credit_card,72000.0,9.65,12000,10793.17,36,7.35
RENT,debt_consolidation,33000.0,12.51,3000,2654.74,36,14.08
MORTGAGE,credit_card,91000.0,19.57,32000,30812.11,60,11.98
MORTGAGE,debt_consolidation,80000.0,28.65,22000,20647.17,60,12.62
MORTGAGE,debt_consolidation,132900.0,14.54,26000,24871.17,60,25.82
MORTGAGE,debt_consolidation,60000.0,25.5,11200,10393.85,36,10.41
RENT,debt_consolidation,150000.0,4.9,35000,31938.71,36,17.09
RENT,debt_consolidation,51000.0,28.24,22400,20147.25,36,7.35
RENT,other,110000.0,9.75,15000,14636.73,60,12.61
RENT,debt_consolidation,56000.0,12.43,14000,12283.51,36,9.44
MORTGAGE,home_improvement,138000.0,5.87,30000,27898.11,60,7.35
MORTGAGE,debt_consolidation,80000.0,17.99,26000,22987.54,36,13.59
MORTGAGE,debt_consolidation,120000.0,33.73,25000,24021.35,60,9.92
MORTGAGE,debt_consolidation,110500.0,18.89,12000,10609.61,36,13.59
MORTGAGE,house,40000.0,5.22,22725,21881.41,60,11.98
RENT,major_purchase,52000.0,2.86,25000,24071.97,60,11.98
RENT,debt_consolidation,75000.0,9.79,20000,19207.22,60,9.43
RENT,small_business,50000.0,13.97,20000,18294.92,36,19.03
RENT,small_business,74000.0,14.39,28125,26395.51,60,12.62
MORTGAGE,debt_consolidation,206000.0,5.43,18000,16606.83,36,5.31
MORTGAGE,debt_consolidation,38550.0,23.38,12000,11599.33,60,16.01
MORTGAGE,debt_consolidation,155000.0,20.69,12000,11464.94,60,24.85
MORTGAGE,debt_consolidation,122000.0,11.45,20000,18560.45,36,10.41
MORTGAGE,credit_card,71240.0,30.15,17000,15732.7,36,7.96
MORTGAGE,debt_consolidation,80000.0,25.59,30000,28308.59,60,16.02
OWN,credit_card,50000.0,24.11,12000,11089.41,36,6.71
OWN,credit_card,56000.0,7.82,20000,18814.85,60,14.08
MORTGAGE,debt_consolidation,125000.0,21.34,20000,17880.79,36,20.0
OWN,home_improvement,73000.0,9.06,20000,18114.51,36,11.99
RENT,debt_consolidation,44000.0,29.27,18000,15914.44,36,13.59
MORTGAGE,other,230000.0,12.71,30000,26113.44,36,5.32
OWN,credit_card,59000.0,5.84,5000,4358.7,36,6.08
RENT,other,56000.0,15.71,3000,0.0,36,20.0
OWN,major_purchase,40800.0,19.41,15000,14427.41,60,10.9
OWN,other,13200.0,31.73,5000,4501.41,36,7.97
OWN,medical,100000.0,1.25,25000,23729.95,60,20.0
RENT,credit_card,100000.0,29.94,10000,9078.2,36,13.58
MORTGAGE,medical,75000.0,6.03,6500,5796.27,36,7.35
MORTGAGE,debt_consolidation,55000.0,14.42,18000,17342.65,60,12.61
MORTGAGE,credit_card,112000.0,15.27,15000,13534.5,36,9.44
RENT,other,60000.0,40.1,5000,4742.56,36,5.31
OWN,major_purchase,23000.0,13.73,1000,937.82,36,20.39
RENT,credit_card,30000.0,16.12,5000,4501.41,36,7.97
RENT,credit_card,100000.0,13.22,12600,10403.74,36,7.97
MORTGAGE,debt_consolidation,62500.0,27.0,25000,23518.56,60,14.08
MORTGAGE,credit_card,64106.0,33.04,25000,22774.2,36,16.02
OWN,debt_consolidation,145000.0,12.15,35000,31380.61,36,5.32
RENT,other,85000.0,18.54,30000,27855.89,36,10.9
RENT,debt_consolidation,76000.0,9.54,30000,27291.78,36,15.05
RENT,other,43000.0,19.15,35000,33643.67,60,21.45
RENT,other,66000.0,21.93,4000,3670.78,36,21.45
MORTGAGE,debt_consolidation,110000.0,15.91,6000,5355.47,36,19.03
RENT,debt_consolidation,17340.0,38.82,10000,9665.38,60,26.77
RENT,credit_card,28000.0,14.66,10000,9336.71,36,16.02
OWN,home_improvement,185000.0,0.0,35000,31418.07,36,6.08
MORTGAGE,credit_card,33000.0,14.59,1000,849.79,36,10.91
RENT,other,55000.0,9.23,5000,3656.35,36,7.35
RENT,debt_consolidation,60000.0,20.1,11000,10450.15,36,7.34
MORTGAGE,debt_consolidation,110000.0,18.39,40000,37929.84,60,10.42
MORTGAGE,other,70400.0,22.08,24000,23145.51,60,13.58
MORTGAGE,credit_card,100000.0,1.54,2500,2313.62,36,7.96
MORTGAGE,credit_card,60000.0,11.7,10000,9485.14,36,5.31
RENT,credit_card,50000.0,12.17,12000,6112.89,36,15.05
MORTGAGE,debt_consolidation,155000.0,23.71,22325,20367.66,36,17.09
RENT,credit_card,52000.0,16.39,18000,17210.45,60,6.71
RENT,debt_consolidation,55120.0,15.2,25000,23462.69,60,12.62
RENT,debt_consolidation,42000.0,5.83,4000,3499.73,36,7.97
RENT,debt_consolidation,39000.0,21.05,8000,7535.08,36,24.84
MORTGAGE,debt_consolidation,38000.0,32.69,8000,7245.8,36,11.99
MORTGAGE,debt_consolidation,26000.0,21.93,10000,8896.19,36,17.09
MORTGAGE,debt_consolidation,97000.0,30.26,40000,37982.13,36,6.71
MORTGAGE,home_improvement,74870.0,47.71,10800,10083.55,36,16.01
RENT,other,41000.0,13.11,5000,4663.53,36,15.04
OWN,credit_card,25500.0,33.6,5000,4762.84,36,10.9
RENT,credit_card,50000.0,24.46,24000,22385.01,36,15.04
MORTGAGE,credit_card,350000.0,11.98,15000,13954.16,36,12.61
MORTGAGE,credit_card,91000.0,19.69,12500,11295.35,36,10.42
RENT,debt_consolidation,32000.0,37.17,15000,13388.72,36,19.03
MORTGAGE,home_improvement,195000.0,17.95,38400,35709.59,60,7.35
MORTGAGE,credit_card,118000.0,10.59,20000,18952.04,60,9.93
OWN,credit_card,140000.0,6.58,17800,15427.2,36,6.07
RENT,credit_card,70000.0,15.21,18000,16919.96,60,13.59
MORTGAGE,home_improvement,500000.0,8.68,40000,35977.23,36,7.35
RENT,car,24000.0,9.4,8900,8471.68,36,9.92
RENT,credit_card,83000.0,1.66,35000,31380.61,36,5.32
RENT,other,94000.0,37.55,5125,4566.9,36,18.06
OWN,other,56820.0,1.44,20000,19257.57,60,11.98
MORTGAGE,debt_consolidation,50000.0,23.45,24000,22646.9,60,16.02
MORTGAGE,debt_consolidation,185000.0,26.25,27300,0.0,60,26.77
MORTGAGE,credit_card,84000.0,20.7,16000,15338.12,60,19.03
MORTGAGE,debt_consolidation,50000.0,30.91,14400,13645.46,60,9.93
RENT,debt_consolidation,105000.0,29.27,30000,28710.94,36,17.47
MORTGAGE,credit_card,39000.0,33.83,7000,6368.08,36,15.05
RENT,debt_consolidation,62000.0,33.47,6000,5769.92,36,24.84
RENT,credit_card,60000.0,10.96,5000,4390.98,36,9.93
MORTGAGE,debt_consolidation,117000.0,27.86,14000,13584.79,60,20.39
RENT,debt_consolidation,54000.0,27.91,6000,5465.78,36,16.02
MORTGAGE,home_improvement,102000.0,29.02,25000,24071.97,60,11.98
RENT,debt_consolidation,3120.0,215.38,18000,15836.56,36,10.91
MORTGAGE,credit_card,126000.0,6.76,5000,4374.68,36,7.97
MORTGAGE,debt_consolidation,175000.0,28.27,40000,36011.51,36,7.97
OWN,credit_card,50000.0,23.33,14000,13420.87,60,19.03
MORTGAGE,home_improvement,75000.0,12.0,21000,19618.86,60,9.93
OWN,debt_consolidation,72800.0,18.73,20000,18114.51,36,11.99
RENT,debt_consolidation,92000.0,13.03,22000,20427.64,36,10.9
RENT,vacation,80000.0,10.94,7000,6325.37,36,10.42
MORTGAGE,other,120000.0,52.91,16000,14884.43,36,12.61
RENT,debt_consolidation,60000.0,21.08,6000,5285.75,36,6.08
RENT,debt_consolidation,96000.0,4.43,11000,9573.71,36,6.08
RENT,debt_consolidation,28500.0,33.39,12500,12109.14,60,18.45
RENT,credit_card,37500.0,24.48,1800,1670.44,36,10.41
MORTGAGE,debt_consolidation,80000.0,30.24,20000,19179.29,60,11.98
RENT,credit_card,45000.0,10.6,10000,8976.56,36,6.08
MORTGAGE,credit_card,58000.0,29.53,39600,36410.01,36,22.91
RENT,debt_consolidation,31000.0,15.64,14000,13375.87,36,15.04
OWN,medical,250000.0,0.64,3000,2692.96,36,6.08
RENT,debt_consolidation,65000.0,27.77,25000,24031.19,60,21.45
MORTGAGE,debt_consolidation,63000.0,33.62,18875,17147.14,36,14.07
MORTGAGE,other,90000.0,9.75,1200,932.74,36,7.96
MORTGAGE,debt_consolidation,75000.0,3.06,10000,8985.61,36,6.72
MORTGAGE,home_improvement,163000.0,6.46,28000,24469.26,36,7.35
RENT,other,65895.0,16.79,10000,9270.01,36,9.43
RENT,debt_consolidation,29881.32,31.45,9500,8544.58,36,7.35
RENT,credit_card,86000.0,11.86,14400,13588.11,60,16.02
MORTGAGE,debt_consolidation,100000.0,15.14,12500,11061.42,36,14.08
MORTGAGE,credit_card,65000.0,21.16,29000,26554.32,60,7.35
RENT,credit_card,40000.0,26.61,5200,4533.06,36,6.08
RENT,credit_card,61000.0,27.98,12000,0.0,36,13.59
MORTGAGE,debt_consolidation,70000.0,35.64,21600,20115.32,36,13.59
MORTGAGE,debt_consolidation,60000.0,31.66,12000,11448.53,60,15.05
MORTGAGE,credit_card,107000.0,12.15,12600,0.0,36,6.72
RENT,other,300000.0,13.9,12075,11671.84,60,16.01
MORTGAGE,debt_consolidation,100000.0,14.29,40000,36145.13,36,10.42
RENT,debt_consolidation,42000.0,20.89,15000,0.0,36,10.91
MORTGAGE,debt_consolidation,60000.0,11.36,8425,7686.31,36,17.09
MORTGAGE,debt_consolidation,315000.0,13.08,12000,11262.09,60,12.62
RENT,credit_card,100000.0,9.17,6650,6307.62,36,5.31
MORTGAGE,major_purchase,135000.0,17.42,16800,16047.29,60,16.02
RENT,debt_consolidation,52000.0,24.39,17450,16828.69,60,13.58
MORTGAGE,debt_consolidation,134315.0,29.45,35000,15405.01,36,13.58
MORTGAGE,debt_consolidation,100000.0,16.28,8000,7025.61,36,9.93
RENT,credit_card,85451.0,16.14,36000,33750.9,60,11.99
MORTGAGE,debt_consolidation,90000.0,13.48,27000,24260.98,36,6.72
RENT,debt_consolidation,49000.0,10.85,36000,34798.06,60,16.01
MORTGAGE,credit_card,50000.0,10.06,12000,11124.02,36,9.43
OWN,debt_consolidation,90000.0,21.07,13000,11360.72,36,7.35
RENT,debt_consolidation,85000.0,29.68,15000,13076.2,36,6.08
RENT,debt_consolidation,69000.0,27.43,11000,0.0,36,12.62
RENT,debt_consolidation,37000.0,17.69,26400,25108.12,60,12.62
MORTGAGE,home_improvement,50000.0,11.14,26000,24982.2,60,9.92
RENT,debt_consolidation,100203.0,20.41,12000,10578.78,36,11.99
RENT,home_improvement,21900.0,7.93,20000,18114.51,36,11.99
OWN,medical,50000.0,14.38,13000,12503.74,60,10.9
RENT,major_purchase,127000.0,9.12,35000,33396.01,60,15.05
MORTGAGE,debt_consolidation,75000.0,15.22,1000,874.91,36,7.97
MORTGAGE,debt_consolidation,72135.0,23.69,30000,28886.34,60,11.98
RENT,credit_card,50000.0,35.55,10000,9057.25,36,11.99
MORTGAGE,debt_consolidation,40000.0,8.49,7000,6564.89,36,20.39
MORTGAGE,credit_card,100500.0,20.68,40000,38354.23,60,7.96
MORTGAGE,credit_card,100000.0,22.56,12000,10759.06,36,5.32
RENT,small_business,72000.0,5.7,30000,27254.14,36,14.08
MORTGAGE,debt_consolidation,50000.0,15.1,12000,11572.74,60,13.58
RENT,debt_consolidation,80000.0,1.86,15000,13185.1,36,10.42
RENT,credit_card,65000.0,15.94,10000,8782.01,36,9.93
MORTGAGE,credit_card,36000.0,23.61,10000,9407.42,60,14.08
MORTGAGE,debt_consolidation,94000.0,5.41,35000,32678.16,36,16.01
MORTGAGE,debt_consolidation,115000.0,5.19,20000,19287.91,60,13.58
OWN,debt_consolidation,40000.0,12.63,10000,8361.51,36,10.91
OWN,debt_consolidation,41280.0,4.39,25000,23341.54,36,16.01
RENT,other,27000.0,15.44,2000,1807.25,36,10.42
MORTGAGE,other,155000.0,0.21,35000,30511.21,36,6.08
MORTGAGE,debt_consolidation,54000.0,11.36,12500,11568.16,36,7.96
MORTGAGE,vacation,109000.0,5.41,4200,3702.53,36,11.99
MORTGAGE,credit_card,39000.0,8.15,20000,18072.54,36,10.42
RENT,house,42000.0,19.83,20000,17580.17,36,10.42
MORTGAGE,other,117000.0,19.87,19000,18332.19,60,14.07
RENT,other,40000.0,39.93,5000,4511.49,36,9.44
MORTGAGE,debt_consolidation,95000.0,35.95,24100,23185.38,60,30.65
MORTGAGE,debt_consolidation,80000.0,15.96,12000,10590.97,36,12.62
RENT,debt_consolidation,74600.0,8.25,20000,17564.07,36,9.93
RENT,house,60000.0,15.0,40000,39055.92,60,13.58
RENT,debt_consolidation,35000.0,30.47,9000,8019.63,36,13.58
RENT,debt_consolidation,50000.0,21.87,20000,18654.17,36,15.04
OWN,major_purchase,26895.0,2.98,12000,11739.51,60,15.05
RENT,major_purchase,200000.0,11.27,28350,25021.2,36,12.62
MORTGAGE,credit_card,35000.0,6.34,10000,9226.01,36,5.31
MORTGAGE,major_purchase,85000.0,16.21,6000,5379.53,36,5.32
RENT,credit_card,98728.0,22.86,15400,14856.4,60,24.85
RENT,credit_card,98000.0,8.94,6400,5787.42,36,10.91
MORTGAGE,debt_consolidation,105000.0,22.7,25000,23976.58,60,19.42
MORTGAGE,car,145000.0,11.18,30000,28436.34,60,19.03
RENT,debt_consolidation,88000.0,28.27,30000,27981.54,36,15.05
MORTGAGE,credit_card,62000.0,32.96,14400,12831.96,36,18.06
RENT,home_improvement,54000.0,16.87,20000,18903.27,60,17.09
MORTGAGE,debt_consolidation,70000.0,38.54,28000,26136.04,60,9.44
RENT,moving,124500.0,20.95,16000,14884.43,36,12.61
MORTGAGE,credit_card,52505.4,28.73,12000,10878.71,36,12.62
RENT,credit_card,119216.0,23.91,20000,19164.16,60,7.34
RENT,debt_consolidation,135000.0,2.95,25000,22414.72,36,5.32
RENT,debt_consolidation,30000.0,16.72,4000,3499.73,36,7.97
RENT,debt_consolidation,70000.0,9.83,30000,29036.81,60,17.47
MORTGAGE,major_purchase,31000.0,21.33,2000,1906.65,36,11.98
MORTGAGE,debt_consolidation,100000.0,21.42,40000,37500.99,60,11.99
MORTGAGE,home_improvement,160000.0,16.11,35000,33961.99,60,20.39
RENT,credit_card,20000.0,32.65,5000,4482.92,36,5.32
OWN,medical,32000.0,35.75,18000,17399.01,60,16.01
RENT,major_purchase,96000.0,26.98,8000,7038.49,36,10.91
MORTGAGE,debt_consolidation,30000.0,32.4,10500,9949.81,60,9.93
RENT,credit_card,26000.0,22.19,8000,7488.12,36,18.45
MORTGAGE,debt_consolidation,35000.0,3.88,2750,2450.04,36,10.41
RENT,debt_consolidation,80000.0,23.09,10000,8965.88,36,5.32
MORTGAGE,debt_consolidation,74000.0,15.73,11000,9993.15,36,14.08
RENT,debt_consolidation,60000.0,8.16,9600,8721.33,36,14.08
RENT,credit_card,67000.0,9.76,10000,9036.27,36,10.42
MORTGAGE,other,63000.0,5.62,3600,3215.02,36,7.97
RENT,credit_card,175000.0,18.33,35000,33567.23,60,19.42
RENT,debt_consolidation,18000.0,34.73,5000,4656.28,36,13.58
MORTGAGE,home_improvement,90000.0,26.05,12000,11363.42,60,9.44
MORTGAGE,debt_consolidation,38000.0,24.42,4000,3712.15,36,10.41
MORTGAGE,debt_consolidation,65000.0,25.96,10000,9576.69,36,18.45
MORTGAGE,debt_consolidation,59500.0,27.83,12000,10843.53,36,10.42
RENT,debt_consolidation,69000.0,27.74,10000,0.0,36,19.42
OWN,debt_consolidation,80969.94,22.45,20000,19623.58,60,21.85
RENT,debt_consolidation,58000.0,16.64,10000,9176.98,36,21.45
RENT,major_purchase,95000.0,1.07,36000,31497.99,36,7.97
RENT,credit_card,95000.0,16.07,16000,14840.23,36,9.92
RENT,home_improvement,80000.0,10.08,20000,18952.04,60,9.93
MORTGAGE,other,80000.0,20.84,40000,37369.27,60,9.93
RENT,credit_card,72000.0,18.69,14000,0.0,36,13.58
MORTGAGE,debt_consolidation,76500.0,27.48,35000,33961.99,60,20.39
MORTGAGE,debt_consolidation,125000.0,24.09,28000,27040.74,60,15.04
MORTGAGE,debt_consolidation,52400.0,14.04,21000,20280.57,60,15.04
RENT,other,25000.0,8.68,14000,13655.24,60,11.98
MORTGAGE,car,127200.0,7.86,5000,4364.17,36,6.72
RENT,major_purchase,96000.0,30.28,15000,14053.98,36,19.42
MORTGAGE,credit_card,23000.0,49.58,15000,14395.45,60,20.0
RENT,debt_consolidation,60000.0,11.0,10000,8704.48,36,5.32
MORTGAGE,debt_consolidation,82000.0,35.02,10000,8773.94,36,9.44
MORTGAGE,debt_consolidation,70000.0,14.51,6000,0.0,36,9.44
OWN,other,75000.0,9.95,12800,11387.14,36,17.09
RENT,debt_consolidation,65000.0,15.05,3000,2692.9,36,6.07
RENT,house,32000.0,14.82,8000,7480.61,36,17.47
OWN,debt_consolidation,82000.0,26.35,18000,16831.39,36,17.47
RENT,credit_card,68000.0,29.0,9000,8102.57,36,7.97
RENT,other,80000.0,0.38,8000,7649.37,36,16.02
MORTGAGE,debt_consolidation,65000.0,26.18,20000,19258.64,60,11.98
OWN,debt_consolidation,15000.0,33.55,7500,7043.93,36,21.85
MORTGAGE,debt_consolidation,75000.0,4.88,4000,3710.06,36,9.92
MORTGAGE,debt_consolidation,75000.0,28.61,28000,27342.89,60,28.72
RENT,other,58000.0,10.28,10000,9275.24,36,9.93
RENT,debt_consolidation,125000.0,4.09,30000,0.0,36,14.08
OWN,debt_consolidation,100000.0,37.42,27000,24951.18,36,6.71
RENT,debt_consolidation,125000.0,15.76,7000,6141.74,36,9.44
OWN,debt_consolidation,39000.0,23.52,9000,7903.83,36,9.93
OWN,house,70000.0,12.05,15000,13161.28,36,9.44
MORTGAGE,credit_card,170000.0,8.08,38400,36635.35,60,15.05
MORTGAGE,debt_consolidation,70000.0,34.78,15000,13739.07,36,20.0
MORTGAGE,credit_card,49500.0,34.86,15000,14486.1,60,15.04
OWN,debt_consolidation,65000.0,26.62,33600,31390.18,60,9.93
MORTGAGE,debt_consolidation,29000.0,24.63,7500,6619.35,36,12.62
RENT,debt_consolidation,44000.0,24.77,20000,18592.74,36,11.98
MORTGAGE,credit_card,50000.0,22.13,24000,22742.46,60,9.93
MORTGAGE,debt_consolidation,46800.0,32.41,6000,5722.57,36,12.61
MORTGAGE,credit_card,50000.0,31.2,19000,17703.15,36,14.07
MORTGAGE,car,75000.0,33.46,4800,4231.5,36,11.99
MORTGAGE,debt_consolidation,60000.0,20.06,25000,24258.55,60,20.39
RENT,debt_consolidation,250000.0,7.81,20000,17971.08,36,6.72
RENT,credit_card,80000.0,22.38,8000,6695.87,36,7.97
MORTGAGE,debt_consolidation,135000.0,14.18,9600,8446.16,36,10.91
MORTGAGE,house,80000.0,14.81,10000,9767.04,60,14.07
RENT,other,48000.0,19.5,25000,23776.62,60,12.62
RENT,debt_consolidation,110000.0,13.7,30000,28531.92,60,12.62
RENT,credit_card,40000.0,15.53,10000,9254.54,36,7.96
MORTGAGE,credit_card,72000.0,3.75,5000,4488.26,36,6.08
MORTGAGE,debt_consolidation,102000.0,30.07,24000,22284.71,36,10.9
RENT,credit_card,80000.0,19.97,30000,28508.06,60,11.99
MORTGAGE,credit_card,50000.0,26.36,5000,4658.72,36,14.07
MORTGAGE,debt_consolidation,100000.0,13.62,9600,8930.65,36,12.61
OWN,medical,240000.0,3.04,10500,9481.11,36,9.93
MORTGAGE,debt_consolidation,150000.0,13.25,16800,15628.67,36,12.61
RENT,credit_card,12276.0,26.78,4000,3539.64,36,14.08
MORTGAGE,debt_consolidation,121000.0,32.38,10000,9147.44,36,19.03
MORTGAGE,debt_consolidation,112000.0,20.56,20000,18456.81,36,25.82
MORTGAGE,credit_card,100000.0,17.28,18000,15807.67,36,9.93
MORTGAGE,debt_consolidation,27000.0,24.37,16000,15122.6,60,17.09
MORTGAGE,debt_consolidation,22000.0,68.3,18500,16692.54,36,9.44
OWN,credit_card,160000.0,18.25,36000,33828.12,60,11.98
RENT,vacation,170000.0,12.47,2000,0.0,36,15.05
RENT,major_purchase,65000.0,11.84,35000,31796.51,36,14.08
MORTGAGE,debt_consolidation,54000.0,13.0,7500,6777.77,36,10.42
OWN,debt_consolidation,36224.0,7.86,10000,8749.43,36,7.97
RENT,other,58000.0,13.64,5000,0.0,36,7.34
MORTGAGE,debt_consolidation,57000.0,18.19,1975,1776.37,36,7.35
MORTGAGE,credit_card,98000.0,11.34,10000,8965.88,36,5.32
RENT,debt_consolidation,56000.0,17.27,8300,7664.44,36,6.07
RENT,debt_consolidation,60000.0,10.2,38000,36496.99,60,15.04
MORTGAGE,house,80000.0,10.5,30000,28588.97,60,9.43
MORTGAGE,credit_card,65000.0,21.62,9500,0.0,36,10.42
OWN,debt_consolidation,73000.0,26.04,10000,9247.93,36,7.34
OWN,debt_consolidation,35000.0,15.88,12000,11288.91,60,14.08
RENT,debt_consolidation,32000.0,27.19,17000,16041.55,60,16.02
OWN,debt_consolidation,15000.0,70.48,30000,29026.93,60,17.09
OWN,debt_consolidation,43500.0,19.34,7800,7213.38,36,7.34
MORTGAGE,debt_consolidation,120000.0,9.45,40000,38434.2,60,9.92
MORTGAGE,debt_consolidation,65000.0,10.06,16000,14470.33,36,10.91
OWN,credit_card,23500.0,32.43,5000,4762.84,36,10.9
RENT,debt_consolidation,75000.0,14.83,20000,19051.38,36,10.9
MORTGAGE,debt_consolidation,100000.0,25.69,40000,37929.84,60,10.42
RENT,other,210000.0,8.51,12000,11506.93,36,20.39
MORTGAGE,debt_consolidation,87500.0,17.59,35000,33175.76,60,19.03
MORTGAGE,debt_consolidation,60000.0,22.92,15000,14472.78,60,14.07
RENT,other,13692.0,24.63,3000,2805.2,36,17.47
OWN,debt_consolidation,100000.0,18.79,16000,0.0,60,11.98
MORTGAGE,credit_card,75000.0,19.79,35000,32480.82,36,10.41
MORTGAGE,credit_card,90000.0,20.23,24000,21671.17,36,9.93
OWN,home_improvement,43000.0,10.88,10000,9666.11,60,16.01
RENT,debt_consolidation,22000.0,11.24,7000,6499.71,36,10.9
OWN,debt_consolidation,27000.0,16.44,1800,1646.54,36,19.03
RENT,credit_card,100000.0,12.59,13000,12336.2,60,10.91
RENT,debt_consolidation,72000.0,12.04,11200,9826.8,36,9.44
MORTGAGE,other,90000.0,19.23,20000,18005.74,36,7.97
OWN,debt_consolidation,45000.0,16.97,25000,22942.47,36,21.45
OWN,debt_consolidation,50000.0,4.5,16000,15457.56,60,26.3
MORTGAGE,credit_card,35000.0,8.78,9600,3535.08,36,10.9
OWN,credit_card,62000.0,29.71,4000,3486.96,36,6.08
MORTGAGE,moving,72000.0,22.68,3600,3142.2,36,6.72
OWN,other,95000.0,12.42,6500,5996.91,36,5.31
OWN,debt_consolidation,22000.0,32.24,15825,15145.01,36,17.47
RENT,credit_card,45000.0,22.88,10000,9302.76,36,12.61
MORTGAGE,credit_card,140000.0,23.84,40000,36011.51,36,7.97
OWN,other,65000.0,26.4,18000,16801.75,60,9.44
MORTGAGE,home_improvement,110000.0,60.3,30000,27840.7,36,10.41
MORTGAGE,medical,61000.0,9.33,15000,14077.59,60,12.62
RENT,debt_consolidation,42000.0,21.89,20000,19088.58,36,13.58
RENT,debt_consolidation,92000.0,18.25,40000,27128.13,36,9.93
MORTGAGE,home_improvement,91000.0,19.71,31325,30162.15,60,11.98
OWN,debt_consolidation,60000.0,32.2,21000,18682.04,36,17.09
OWN,home_improvement,49000.0,7.94,22000,21312.1,60,18.45
MORTGAGE,other,25000.0,28.42,3025,2731.47,36,9.93
MORTGAGE,other,132000.0,8.27,10000,9637.39,60,23.88
RENT,debt_consolidation,41000.0,25.7,4500,4093.75,36,15.05
