homeownership,annual_income,debt_to_income,loan_purpose,loan_amount,balance,term,interest_rate
OWN,125000.0,19.7,debt_consolidation,7000,6215.74,36,16.02
MORTGAGE,68000.0,18.55,renewable_energy,10000,9023.01,36,9.44
MORTGAGE,46000.0,27.45,credit_card,7000,6473.55,36,7.34
MORTGAGE,40000.0,38.01,debt_consolidation,7000,6423.88,36,21.45
MORTGAGE,35000.0,29.19,debt_consolidation,6000,5544.7,36,6.71
OWN,25000.0,5.57,car,8000,7234.29,36,10.91
OWN,80000.0,33.37,debt_consolidation,20000,18756.83,36,20.39
MORTGAGE,75000.0,10.0,debt_consolidation,6000,5450.83,36,14.08
MORTGAGE,80000.0,9.6,credit_card,10000,9247.92,36,7.34
MORTGAGE,90000.0,7.15,debt_consolidation,5000,4364.17,36,6.72
RENT,30000.0,4.16,other,5000,4656.28,36,13.58
MORTGAGE,72000.0,30.83,credit_card,6000,5434.35,36,11.99
MORTGAGE,200000.0,9.59,credit_card,16000,13965.39,36,6.72
OWN,50000.0,13.66,credit_card,20000,18114.51,36,11.99
MORTGAGE,100000.0,11.93,debt_consolidation,28775,26768.75,36,12.61
RENT,42000.0,15.37,debt_consolidation,12000,11097.5,36,7.34
MORTGAGE,90000.0,13.89,credit_card,35000,33327.8,36,10.41
OWN,30000.0,10.96,credit_card,8000,7014.88,36,9.44
OWN,50000.0,28.75,debt_consolidation,17000,15372.85,36,10.91
OWN,95000.0,5.24,credit_card,15600,13616.26,36,6.72
OWN,75000.0,6.93,credit_card,6000,5577.81,36,11.98
MORTGAGE,54000.0,20.51,credit_card,10000,9023.01,36,9.44
OWN,50000.0,22.42,debt_consolidation,20000,19045.42,60,13.59
RENT,135000.0,14.83,debt_consolidation,40000,35863.53,36,5.32
MORTGAGE,125000.0,17.24,debt_consolidation,30000,28265.84,60,15.05
MORTGAGE,140000.0,11.63,home_improvement,20000,19287.91,60,13.58
RENT,35000.0,30.66,vacation,5000,4656.28,36,13.58
MORTGAGE,260000.0,0.54,major_purchase,40000,38414.48,60,9.43
RENT,36000.0,52.27,credit_card,20000,17966.7,36,22.91
RENT,140000.0,15.02,other,23100,20843.14,36,9.44
MORTGAGE,40000.0,14.82,debt_consolidation,9800,8902.99,36,14.08
MORTGAGE,71422.0,14.96,debt_consolidation,20000,17498.86,36,7.97
OWN,90000.0,2.55,other,2000,0.0,36,9.92
RENT,44000.0,12.9,major_purchase,5000,4620.57,36,6.71
MORTGAGE,100000.0,10.07,credit_card,40000,36964.71,36,6.71
MORTGAGE,95000.0,12.44,credit_card,7000,6464.25,36,6.07
OWN,84000.0,9.7,credit_card,15600,13434.43,60,13.58
MORTGAGE,22000.0,2.56,home_improvement,2000,1855.03,36,9.92
RENT,60000.0,16.33,major_purchase,3600,0.0,36,6.08
OWN,3000.0,64.4,debt_consolidation,7000,6479.7,36,7.97
MORTGAGE,67000.0,25.54,debt_consolidation,30000,28428.1,60,9.93
OWN,150000.0,6.9,home_improvement,20000,17582.01,36,10.42
RENT,138000.0,6.84,moving,3000,2637.0,36,10.42
RENT,55000.0,12.22,debt_consolidation,15000,14197.97,60,18.06
MORTGAGE,50000.0,19.18,credit_card,12000,10548.1,36,10.42
MORTGAGE,97000.0,7.45,debt_consolidation,30000,29086.36,60,19.42
OWN,75000.0,24.93,debt_consolidation,20000,17498.86,36,7.97
MORTGAGE,180000.0,16.56,home_improvement,25000,23955.21,60,7.34
MORTGAGE,142000.0,20.6,home_improvement,30000,28308.59,60,16.02
MORTGAGE,150000.0,18.36,debt_consolidation,35000,32319.97,36,6.07
MORTGAGE,65800.0,28.07,debt_consolidation,30000,29213.76,60,24.84
MORTGAGE,44000.0,20.61,other,12000,11688.12,60,9.92
RENT,52000.0,33.39,debt_consolidation,10000,9275.14,36,9.92
MORTGAGE,50000.0,22.13,credit_card,24000,22742.46,60,9.93
MORTGAGE,144000.0,34.26,credit_card,30000,25242.14,36,6.72
RENT,32900.0,30.35,debt_consolidation,20000,18194.52,36,15.05
RENT,25000.0,32.12,credit_card,10000,9078.33,36,13.59
MORTGAGE,72000.0,2.28,medical,4000,3633.87,36,14.08
RENT,30000.0,2.0,moving,12000,11089.41,36,6.71
RENT,300000.0,9.68,debt_consolidation,16000,14376.87,36,6.72
RENT,100000.0,5.47,debt_consolidation,3900,3712.31,36,9.92
RENT,250000.0,5.44,credit_card,40000,38000.6,36,7.34
RENT,50000.0,5.02,credit_card,8000,7038.49,36,10.91
MORTGAGE,116000.0,11.52,home_improvement,6000,5700.09,36,7.34
MORTGAGE,236000.0,3.36,small_business,35000,30944.76,36,13.59
MORTGAGE,85000.0,26.42,debt_consolidation,20000,19236.53,60,10.9
MORTGAGE,30000.0,21.91,other,8500,7919.84,36,14.07
RENT,33000.0,31.16,debt_consolidation,6000,5537.04,36,25.82
MORTGAGE,120000.0,11.84,home_improvement,8000,7172.57,36,5.31
OWN,52000.0,17.4,home_improvement,13000,12330.69,36,5.31
MORTGAGE,180000.0,43.62,debt_consolidation,40000,39092.13,60,15.04
MORTGAGE,60000.0,7.46,small_business,12000,11485.85,60,26.3
MORTGAGE,110000.0,20.77,debt_consolidation,28000,25695.56,36,21.45
RENT,80000.0,11.03,major_purchase,40000,34817.92,36,5.32
RENT,90000.0,4.55,debt_consolidation,5000,4588.47,36,21.45
RENT,30000.0,31.76,debt_consolidation,8425,0.0,36,15.05
MORTGAGE,70000.0,10.97,other,4000,3699.22,36,7.35
RENT,25000.0,41.15,debt_consolidation,10000,9533.25,36,11.98
MORTGAGE,130000.0,31.49,debt_consolidation,7000,6354.8,36,13.59
OWN,47000.0,32.18,debt_consolidation,15000,13739.42,36,20.0
MORTGAGE,115000.0,30.69,vacation,12000,10771.91,36,6.08
OWN,110000.0,22.1,small_business,24000,20998.65,36,7.97
RENT,35000.0,20.06,other,10000,9327.09,36,15.04
OWN,60000.0,14.71,debt_consolidation,25000,23248.45,60,7.35
RENT,35000.0,26.58,debt_consolidation,10000,8976.56,36,6.08
MORTGAGE,100000.0,35.8,credit_card,15000,14299.86,36,11.98
RENT,55000.0,4.67,credit_card,16000,14972.98,60,10.91
MORTGAGE,75000.0,22.91,debt_consolidation,10000,9234.27,36,6.07
RENT,90000.0,10.44,small_business,25000,23992.42,60,20.0
RENT,74000.0,17.43,debt_consolidation,32400,31413.28,60,19.42
OWN,53232.0,6.33,credit_card,6000,5742.17,36,17.47
MORTGAGE,145000.0,22.28,home_improvement,24000,22854.52,60,13.59
MORTGAGE,80000.0,15.38,debt_consolidation,40000,36011.51,36,7.97
MORTGAGE,62500.0,25.36,home_improvement,4000,3701.79,36,7.96
RENT,65895.0,16.79,other,10000,9270.01,36,9.43
OWN,106000.0,23.54,debt_consolidation,36000,34090.33,60,9.44
RENT,54000.0,12.42,credit_card,20000,19217.08,60,9.92
RENT,110000.0,8.25,debt_consolidation,40000,0.0,60,16.02
MORTGAGE,39000.0,12.92,credit_card,12000,11412.78,60,12.62
RENT,58000.0,19.34,credit_card,9000,7855.5,36,6.72
MORTGAGE,39000.0,9.54,credit_card,3000,2624.82,36,7.97
MORTGAGE,139000.0,29.57,credit_card,10000,9502.67,60,11.99
RENT,23000.0,16.08,small_business,10000,9312.56,36,13.58
MORTGAGE,110000.0,27.29,debt_consolidation,35000,33210.94,60,10.91
MORTGAGE,38000.0,37.43,debt_consolidation,3600,3348.98,36,12.61
MORTGAGE,60705.0,28.87,credit_card,27000,24528.73,36,14.08
MORTGAGE,148600.0,12.84,debt_consolidation,37000,35341.87,60,16.01
MORTGAGE,80000.0,21.05,debt_consolidation,10000,9564.43,60,17.09
RENT,44000.0,29.49,other,6000,5601.95,36,16.01
RENT,25000.0,27.7,debt_consolidation,8000,7630.08,36,12.61
MORTGAGE,100000.0,8.62,debt_consolidation,10000,9254.54,36,7.96
RENT,96000.0,2.81,credit_card,10000,9241.27,36,6.72
MORTGAGE,65000.0,17.45,debt_consolidation,23000,21875.8,60,21.45
OWN,50000.0,14.38,medical,13000,12503.74,60,10.9
MORTGAGE,100000.0,3.23,credit_card,14400,12568.86,36,6.72
MORTGAGE,351950.0,8.11,debt_consolidation,40000,37018.15,36,7.96
OWN,19000.0,24.88,medical,10800,10405.7,60,12.62
MORTGAGE,57000.0,9.07,debt_consolidation,6500,5930.09,36,17.09
MORTGAGE,102000.0,30.07,debt_consolidation,24000,22284.71,36,10.9
MORTGAGE,56000.0,22.82,credit_card,19100,18086.82,60,9.44
RENT,35000.0,20.51,debt_consolidation,9100,8397.83,36,25.82
RENT,64000.0,7.01,car,4200,3777.6,36,7.35
OWN,31000.0,6.31,debt_consolidation,6000,5568.11,36,10.41
MORTGAGE,70000.0,19.37,debt_consolidation,31000,28943.49,36,16.01
RENT,24000.0,63.7,credit_card,24000,22968.77,36,17.47
MORTGAGE,12000.0,5.6,debt_consolidation,40000,34817.92,36,5.32
RENT,104000.0,15.53,debt_consolidation,3000,2647.72,36,12.62
RENT,65000.0,10.08,debt_consolidation,10000,9491.98,60,20.0
MORTGAGE,80000.0,10.44,debt_consolidation,4500,3951.89,36,9.93
OWN,59000.0,5.26,credit_card,9500,8517.55,36,5.32
MORTGAGE,80000.0,8.27,debt_consolidation,40000,35160.4,36,10.42
RENT,62000.0,33.47,debt_consolidation,6000,5769.92,36,24.84
MORTGAGE,96000.0,20.18,debt_consolidation,16000,14436.82,36,9.44
MORTGAGE,53000.0,33.55,home_improvement,8400,7311.74,36,5.32
MORTGAGE,104000.0,2.7,debt_consolidation,25000,24021.35,60,9.92
MORTGAGE,45000.0,25.31,debt_consolidation,28000,26745.52,60,16.02
RENT,70000.0,14.63,debt_consolidation,14400,13748.58,36,14.07
MORTGAGE,71000.0,25.56,credit_card,7200,6510.83,36,10.91
MORTGAGE,300000.0,22.74,debt_consolidation,36000,32482.85,36,9.44
MORTGAGE,103000.0,26.94,debt_consolidation,27400,26424.47,60,13.58
RENT,54200.0,26.71,credit_card,13500,11811.74,36,7.97
RENT,122000.0,24.8,debt_consolidation,16000,14938.56,36,16.01
MORTGAGE,36000.0,29.83,debt_consolidation,10000,8879.63,36,16.02
MORTGAGE,93000.0,29.91,credit_card,15000,14452.23,60,12.61
OWN,135000.0,22.34,debt_consolidation,11000,9818.37,36,19.03
RENT,28800.0,19.17,debt_consolidation,3000,2668.83,36,17.09
RENT,69000.0,6.96,debt_consolidation,14400,12553.18,36,6.08
MORTGAGE,70000.0,13.27,debt_consolidation,30000,26185.11,36,6.72
RENT,23666.0,35.9,debt_consolidation,8000,7245.8,36,11.99
OWN,67745.0,8.75,medical,3500,3054.89,36,6.72
RENT,31858.0,18.12,debt_consolidation,13000,12029.83,36,10.41
MORTGAGE,145000.0,11.18,car,30000,28436.34,60,19.03
RENT,45000.0,25.92,credit_card,10000,9618.26,60,10.9
MORTGAGE,41000.0,24.8,credit_card,14500,13689.76,60,7.35
RENT,60000.0,17.0,credit_card,13000,11655.63,36,5.32
RENT,50000.0,23.38,debt_consolidation,12000,11685.48,60,24.84
MORTGAGE,128500.0,24.41,debt_consolidation,18000,15807.67,36,9.93
MORTGAGE,40000.0,6.0,debt_consolidation,1000,878.18,36,9.93
RENT,54000.0,24.76,other,18000,17312.89,60,10.9
RENT,38000.0,11.28,debt_consolidation,3000,0.0,36,13.59
MORTGAGE,142000.0,20.25,debt_consolidation,40000,35906.37,36,6.08
MORTGAGE,108000.0,15.16,home_improvement,35000,33044.26,60,7.35
MORTGAGE,175000.0,14.71,other,8500,7428.16,36,7.35
RENT,35000.0,21.67,credit_card,5600,5194.85,36,9.92
MORTGAGE,110000.0,0.95,home_improvement,6000,1482.33,36,7.34
MORTGAGE,44500.0,39.89,credit_card,20000,19287.91,60,13.58
RENT,55000.0,36.16,debt_consolidation,10000,8926.24,36,19.03
RENT,182000.0,6.06,credit_card,32000,29785.98,60,14.08
MORTGAGE,71400.0,2.33,home_improvement,12000,10486.83,36,7.35
RENT,27000.0,33.16,debt_consolidation,23000,21700.83,60,15.05
MORTGAGE,175000.0,15.55,credit_card,30000,28155.2,60,12.62
MORTGAGE,65000.0,22.03,credit_card,30000,28697.54,60,25.82
RENT,45000.0,4.11,major_purchase,12000,11422.5,36,9.92
MORTGAGE,89000.0,9.74,debt_consolidation,27500,25669.34,60,9.44
MORTGAGE,70000.0,34.27,credit_card,12000,11192.5,36,15.04
MORTGAGE,49000.0,23.04,debt_consolidation,10000,9451.63,60,17.09
MORTGAGE,100000.0,13.62,debt_consolidation,9600,8930.65,36,12.61
MORTGAGE,35000.0,22.26,debt_consolidation,10000,8773.94,36,9.44
MORTGAGE,40000.0,31.44,debt_consolidation,6400,5796.61,36,11.99
RENT,31942.63,16.16,credit_card,10000,9687.32,60,18.45
RENT,59000.0,16.11,credit_card,13000,12031.01,36,7.97
MORTGAGE,40000.0,35.16,other,2000,1807.25,36,10.42
RENT,50000.0,7.24,credit_card,5000,0.0,36,7.97
MORTGAGE,130000.0,29.11,credit_card,12000,10538.41,36,9.93
OWN,101794.0,26.22,debt_consolidation,29000,25594.9,36,12.62
MORTGAGE,79000.0,25.09,credit_card,3300,3044.57,36,5.31
MORTGAGE,75000.0,20.46,debt_consolidation,16800,15192.0,36,10.91
MORTGAGE,117000.0,0.42,home_improvement,40000,35095.78,36,9.44
RENT,52000.0,34.92,debt_consolidation,10000,9002.87,36,7.97
MORTGAGE,200000.0,27.64,credit_card,28000,25956.09,36,9.43
OWN,109000.0,35.1,debt_consolidation,30000,27908.32,36,12.61
RENT,85000.0,16.96,debt_consolidation,10800,10588.26,60,20.39
RENT,29000.0,30.53,medical,6025,5625.28,36,16.01
MORTGAGE,80000.0,11.97,debt_consolidation,14000,12306.12,36,10.42
OWN,175000.0,11.36,home_improvement,40000,36171.45,36,10.91
MORTGAGE,44000.0,13.75,debt_consolidation,11500,0.0,60,12.61
MORTGAGE,91100.0,10.7,credit_card,20000,19005.39,60,11.99
RENT,40000.0,5.65,other,10000,9378.42,36,20.39
RENT,72000.0,13.89,major_purchase,5400,4847.34,36,6.08
MORTGAGE,45000.0,29.2,credit_card,4000,3590.61,36,6.08
MORTGAGE,68000.0,18.03,debt_consolidation,5000,4432.23,36,15.05
MORTGAGE,53500.0,17.99,debt_consolidation,12000,0.0,36,12.62
MORTGAGE,45000.0,31.42,debt_consolidation,16200,14638.77,36,10.42
OWN,40012.0,17.43,debt_consolidation,10000,8994.16,36,7.34
RENT,102947.0,17.59,other,32000,28153.97,36,10.91
MORTGAGE,10000.0,137.52,credit_card,30000,26929.76,36,6.08
MORTGAGE,65000.0,23.08,debt_consolidation,18000,16686.04,36,9.43
MORTGAGE,68000.0,42.66,credit_card,25000,24143.51,60,15.04
RENT,31200.0,33.38,debt_consolidation,8400,7791.12,36,9.92
MORTGAGE,120000.0,5.15,debt_consolidation,18000,16634.11,36,6.71
RENT,115000.0,15.59,credit_card,25000,23462.69,60,12.62
MORTGAGE,155000.0,15.01,credit_card,40000,34869.96,36,6.08
OWN,48000.0,3.85,other,7000,6643.56,36,6.07
OWN,65000.0,15.07,other,1500,1353.44,36,9.44
MORTGAGE,75000.0,20.06,debt_consolidation,6000,5587.52,36,13.58
MORTGAGE,80000.0,3.12,home_improvement,26000,24009.11,36,6.07
OWN,42000.0,27.08,debt_consolidation,10000,9317.45,36,14.07
OWN,94000.0,17.27,debt_consolidation,9000,8120.56,36,9.43
MORTGAGE,125000.0,4.24,other,30000,27825.45,36,9.92
MORTGAGE,47800.0,34.18,credit_card,8000,7223.71,36,9.93
RENT,65000.0,29.51,debt_consolidation,4200,0.0,36,14.07
OWN,100000.0,16.54,debt_consolidation,20000,17478.04,36,7.35
MORTGAGE,53574.0,10.02,credit_card,10000,9392.44,60,10.42
RENT,120000.0,28.86,debt_consolidation,25000,22103.35,36,13.59
OWN,54000.0,12.98,debt_consolidation,4800,4223.05,36,10.91
OWN,70000.0,10.5,debt_consolidation,20000,17953.16,36,6.08
MORTGAGE,92000.0,20.41,debt_consolidation,36000,33372.12,36,9.43
MORTGAGE,86000.0,10.81,home_improvement,4000,0.0,36,6.71
RENT,45000.0,10.85,credit_card,8000,7091.56,36,15.05
MORTGAGE,66900.0,20.66,credit_card,40000,35906.37,36,6.08
OWN,41000.0,21.05,debt_consolidation,21650,20126.64,36,11.98
RENT,72000.0,7.85,other,17000,15465.34,36,15.05
OWN,115000.0,16.86,credit_card,3000,2732.87,36,16.02
MORTGAGE,140000.0,22.14,debt_consolidation,18000,15711.06,36,6.72
RENT,65000.0,30.08,debt_consolidation,24000,22806.46,60,11.99
MORTGAGE,96000.0,25.8,home_improvement,33000,30607.99,36,9.92
RENT,30000.0,31.04,debt_consolidation,16000,15430.5,60,13.59
MORTGAGE,63360.0,38.56,vacation,8000,7308.3,36,18.06
OWN,52000.0,10.11,credit_card,10000,8798.07,36,10.91
RENT,95000.0,26.84,debt_consolidation,20000,18843.87,60,15.05
OWN,55000.0,24.63,credit_card,20000,18684.61,60,9.93
MORTGAGE,120000.0,15.86,home_improvement,6000,5535.59,36,5.31
MORTGAGE,75000.0,37.82,debt_consolidation,25000,23579.24,36,26.3
RENT,60000.0,13.05,credit_card,9600,8642.76,36,7.97
MORTGAGE,48589.0,21.19,debt_consolidation,12000,0.0,36,24.85
MORTGAGE,130000.0,25.32,debt_consolidation,17325,15760.98,36,15.05
OWN,96821.31,26.17,debt_consolidation,21600,20217.93,36,18.45
MORTGAGE,75000.0,26.62,credit_card,14000,12999.42,36,10.9
RENT,60000.0,9.24,debt_consolidation,10000,9084.7,36,14.08
MORTGAGE,100000.0,26.61,debt_consolidation,35000,32390.88,36,7.96
RENT,23000.0,34.19,debt_consolidation,7200,6693.38,36,11.98
MORTGAGE,90000.0,13.72,debt_consolidation,15000,14472.78,60,14.07
MORTGAGE,36000.0,23.61,credit_card,10000,9407.42,60,14.08
RENT,50000.0,0.82,other,15000,13160.89,36,9.44
MORTGAGE,55000.0,1.88,house,20000,19297.02,60,14.07
RENT,100000.0,8.1,debt_consolidation,35000,31212.93,36,12.62
RENT,16700.0,1.8,car,5000,4762.84,36,10.9
MORTGAGE,65000.0,4.28,debt_consolidation,4000,3491.33,36,6.72
OWN,75000.0,22.85,small_business,15000,13160.89,36,9.44
MORTGAGE,95000.0,22.7,credit_card,20000,18684.61,60,9.93
MORTGAGE,80000.0,20.84,debt_consolidation,35000,33635.31,60,29.69
RENT,60000.0,25.9,credit_card,12500,10236.6,36,5.32
RENT,82200.0,23.21,debt_consolidation,16000,14796.68,36,7.34
MORTGAGE,155000.0,19.46,debt_consolidation,35000,31480.09,36,7.35
RENT,48000.0,12.59,debt_consolidation,13000,11323.8,36,10.42
MORTGAGE,50000.0,13.56,credit_card,4000,3380.89,36,5.32
RENT,75000.0,13.7,debt_consolidation,8000,7416.0,36,9.43
RENT,50000.0,20.81,debt_consolidation,7475,6828.71,36,18.06
RENT,50000.0,23.88,debt_consolidation,20000,19314.82,60,15.04
MORTGAGE,45000.0,11.92,debt_consolidation,10000,8773.94,36,9.44
MORTGAGE,80000.0,29.18,credit_card,18000,17487.19,60,21.85
MORTGAGE,100000.0,18.42,credit_card,16000,14105.03,36,11.99
RENT,13200.0,34.55,debt_consolidation,10000,9660.96,60,26.3
MORTGAGE,50000.0,15.41,debt_consolidation,15000,14237.97,60,20.0
RENT,20567.0,6.71,debt_consolidation,4925,4586.41,36,13.58
MORTGAGE,300000.0,4.9,home_improvement,40000,37540.29,60,12.62
RENT,200000.0,22.26,credit_card,28200,27243.98,60,26.3
RENT,100000.0,2.95,credit_card,10000,9495.53,36,6.71
OWN,120000.0,11.4,debt_consolidation,15000,14004.93,36,16.01
MORTGAGE,125000.0,22.6,debt_consolidation,30000,0.0,60,16.02
MORTGAGE,150000.0,9.7,debt_consolidation,5000,4501.41,36,7.97
MORTGAGE,60000.0,14.28,other,15600,14477.17,36,10.41
RENT,55000.0,41.72,debt_consolidation,12000,10609.61,36,13.59
RENT,58000.0,25.32,home_improvement,9600,9172.07,36,15.05
MORTGAGE,50000.0,26.79,credit_card,12000,10843.53,36,10.42
RENT,63373.0,33.67,home_improvement,30000,29213.76,60,24.84
OWN,36000.0,1.17,house,24000,23083.84,60,10.9
MORTGAGE,180000.0,25.56,credit_card,15000,13173.04,36,9.93
MORTGAGE,110000.0,12.68,debt_consolidation,24000,21687.05,36,10.42
MORTGAGE,130000.0,12.28,credit_card,17500,16273.9,60,7.35
RENT,42000.0,17.29,debt_consolidation,14000,13079.24,60,9.93
MORTGAGE,33000.0,13.24,debt_consolidation,20000,18169.44,36,14.08
